document_number,posting_date,company_code,company_name,cost_center,cost_center_desc,gl_account,gl_account_desc,document_type,amount,currency,amount_usd
5000001,2026-06-08,1000,Acme US Inc.,CC-1000-SALES,US Sales,605000,Utilities,SA,1249.08,USD,1249.08
5000002,2026-06-24,1000,Acme US Inc.,CC-1000-SALES,US Sales,600000,Travel & Entertainment,SA,3342.29,USD,3342.29
5000003,2026-06-22,1000,Acme US Inc.,CC-1000-SALES,US Sales,625000,Professional Fees,SA,5338.36,USD,5338.36
5000004,2026-06-19,1000,Acme US Inc.,CC-1000-SALES,US Sales,610000,Salaries & Wages,SA,16381.22,USD,16381.22
5000005,2026-06-08,1000,Acme US Inc.,CC-1000-MKT,US Marketing,600000,Travel & Entertainment,SA,799.26,USD,799.26
5000006,2026-06-18,1000,Acme US Inc.,CC-1000-MKT,US Marketing,640000,Rent & Facilities,SA,5247.96,USD,5247.96
5000007,2026-06-23,1000,Acme US Inc.,CC-1000-MKT,US Marketing,635000,Repairs & Maintenance,SA,420.72,USD,420.72
5000008,2026-06-26,1000,Acme US Inc.,CC-1000-ITOPS,US IT Operations,640000,Rent & Facilities,SA,10929.41,USD,10929.41
5000009,2026-06-25,1000,Acme US Inc.,CC-1000-ITOPS,US IT Operations,630000,Marketing & Advertising,SA,5207.81,USD,5207.81
5000010,2026-06-23,1000,Acme US Inc.,CC-1000-ITOPS,US IT Operations,605000,Utilities,SA,1916.15,USD,1916.15
5000011,2026-06-11,1000,Acme US Inc.,CC-1000-ITOPS,US IT Operations,615000,IT Services & Software,SA,1654.38,USD,1654.38
5000012,2026-06-04,1000,Acme US Inc.,CC-1000-HR,US Human Resources,610000,Salaries & Wages,SA,21578.74,USD,21578.74
5000013,2026-06-13,1000,Acme US Inc.,CC-1000-HR,US Human Resources,615000,IT Services & Software,SA,7743.32,USD,7743.32
5000014,2026-06-12,1000,Acme US Inc.,CC-1000-HR,US Human Resources,630000,Marketing & Advertising,SA,2486.37,USD,2486.37
5000015,2026-06-18,2000,Acme Germany GmbH,CC-2000-PROD,DE Production,620000,Office Supplies,SA,450.01,EUR,486.01
