cost_center,cost_center_desc,company_code,period,budget_amount_usd,actual_amount_usd,variance_usd,variance_pct
CC-1000-SALES,US Sales,1000,2026-06,19624.64,26310.95,6686.31,34.1
CC-1000-SALES,US Sales,1000,2026-07,20035.44,28261.3,8225.86,41.1
CC-1000-SALES,US Sales,1000,2026-08,18807.17,3938.48,-14868.69,-79.1
CC-1000-MKT,US Marketing,1000,2026-06,31436.78,6467.94,-24968.84,-79.4
CC-1000-MKT,US Marketing,1000,2026-07,28270.48,6760.45,-21510.03,-76.1
CC-1000-MKT,US Marketing,1000,2026-08,27861.04,28713.35,852.31,3.1
CC-1000-ITOPS,US IT Operations,1000,2026-06,35153.29,19707.75,-15445.54,-43.9
CC-1000-ITOPS,US IT Operations,1000,2026-07,33220.53,24816.93,-8403.6,-25.3
CC-1000-ITOPS,US IT Operations,1000,2026-08,32922.78,17389.31,-15533.47,-47.2
CC-1000-HR,US Human Resources,1000,2026-06,22809.03,31808.43,8999.4,39.5
CC-1000-HR,US Human Resources,1000,2026-07,21641.42,13662.89,-7978.53,-36.9
CC-1000-HR,US Human Resources,1000,2026-08,20625.69,8530.25,-12095.44,-58.6
CC-2000-PROD,DE Production,2000,2026-06,40096.8,4345.05,-35751.75,-89.2
CC-2000-PROD,DE Production,2000,2026-07,36187.53,16930.69,-19256.84,-53.2
CC-2000-PROD,DE Production,2000,2026-08,37640.75,9643.36,-27997.39,-74.4
CC-2000-RND,DE Research & Development,2000,2026-06,31895.56,13551.25,-18344.31,-57.5
CC-2000-RND,DE Research & Development,2000,2026-07,30883.09,13516.5,-17366.59,-56.2
CC-2000-RND,DE Research & Development,2000,2026-08,28276.18,3007.13,-25269.05,-89.4
CC-3000-SUPPORT,IN Customer Support,3000,2026-06,20079.67,31.3,-20048.37,-99.8
CC-3000-SUPPORT,IN Customer Support,3000,2026-07,19671.16,27.13,-19644.03,-99.9
CC-3000-SUPPORT,IN Customer Support,3000,2026-08,19822.12,45.33,-19776.79,-99.8
CC-3000-FIN,IN Finance Shared Services,3000,2026-06,36751.53,219.29,-36532.24,-99.4
CC-3000-FIN,IN Finance Shared Services,3000,2026-07,37151.12,40.18,-37110.94,-99.9
CC-3000-FIN,IN Finance Shared Services,3000,2026-08,35682.11,216.33,-35465.78,-99.4
