document_number,posting_date,company_code,company_name,cost_center,cost_center_desc,gl_account,gl_account_desc,document_type,amount,currency,amount_usd,period
5000001,2026-06-08,1000,Acme US Inc.,CC-1000-SALES,US Sales,605000,Utilities,SA,1249.08,USD,1249.08,2026-06
5000002,2026-06-24,1000,Acme US Inc.,CC-1000-SALES,US Sales,600000,Travel & Entertainment,SA,3342.29,USD,3342.29,2026-06
5000003,2026-06-22,1000,Acme US Inc.,CC-1000-SALES,US Sales,625000,Professional Fees,SA,5338.36,USD,5338.36,2026-06
5000004,2026-06-19,1000,Acme US Inc.,CC-1000-SALES,US Sales,610000,Salaries & Wages,SA,16381.22,USD,16381.22,2026-06
5000005,2026-06-08,1000,Acme US Inc.,CC-1000-MKT,US Marketing,600000,Travel & Entertainment,SA,799.26,USD,799.26,2026-06
5000006,2026-06-18,1000,Acme US Inc.,CC-1000-MKT,US Marketing,640000,Rent & Facilities,SA,5247.96,USD,5247.96,2026-06
5000007,2026-06-23,1000,Acme US Inc.,CC-1000-MKT,US Marketing,635000,Repairs & Maintenance,SA,420.72,USD,420.72,2026-06
5000008,2026-06-26,1000,Acme US Inc.,CC-1000-ITOPS,US IT Operations,640000,Rent & Facilities,SA,10929.41,USD,10929.41,2026-06
5000009,2026-06-25,1000,Acme US Inc.,CC-1000-ITOPS,US IT Operations,630000,Marketing & Advertising,SA,5207.81,USD,5207.81,2026-06
5000010,2026-06-23,1000,Acme US Inc.,CC-1000-ITOPS,US IT Operations,605000,Utilities,SA,1916.15,USD,1916.15,2026-06
5000011,2026-06-11,1000,Acme US Inc.,CC-1000-ITOPS,US IT Operations,615000,IT Services & Software,SA,1654.38,USD,1654.38,2026-06
5000012,2026-06-04,1000,Acme US Inc.,CC-1000-HR,US Human Resources,610000,Salaries & Wages,SA,21578.74,USD,21578.74,2026-06
5000013,2026-06-13,1000,Acme US Inc.,CC-1000-HR,US Human Resources,615000,IT Services & Software,SA,7743.32,USD,7743.32,2026-06
5000014,2026-06-12,1000,Acme US Inc.,CC-1000-HR,US Human Resources,630000,Marketing & Advertising,SA,2486.37,USD,2486.37,2026-06
5000015,2026-06-18,2000,Acme Germany GmbH,CC-2000-PROD,DE Production,620000,Office Supplies,SA,450.01,EUR,486.01,2026-06
5000016,2026-06-30,2000,Acme Germany GmbH,CC-2000-PROD,DE Production,600000,Travel & Entertainment,SA,886.89,EUR,957.84,2026-06
5000017,2026-06-03,2000,Acme Germany GmbH,CC-2000-PROD,DE Production,625000,Professional Fees,SA,2686.3,EUR,2901.2,2026-06
5000018,2026-06-02,2000,Acme Germany GmbH,CC-2000-RND,DE Research & Development,620000,Office Supplies,SA,1015.85,EUR,1097.12,2026-06
5000019,2026-06-25,2000,Acme Germany GmbH,CC-2000-RND,DE Research & Development,625000,Professional Fees,SA,3478.06,EUR,3756.3,2026-06
5000020,2026-06-03,2000,Acme Germany GmbH,CC-2000-RND,DE Research & Development,640000,Rent & Facilities,SA,6329.83,EUR,6836.22,2026-06
5000021,2026-06-28,2000,Acme Germany GmbH,CC-2000-RND,DE Research & Development,605000,Utilities,SA,1723.71,EUR,1861.61,2026-06
5000022,2026-06-21,3000,Acme India Pvt Ltd,CC-3000-SUPPORT,IN Customer Support,630000,Marketing & Advertising,SA,1976.46,INR,23.72,2026-06
5000023,2026-06-06,3000,Acme India Pvt Ltd,CC-3000-SUPPORT,IN Customer Support,620000,Office Supplies,SA,632.04,INR,7.58,2026-06
5000024,2026-06-23,3000,Acme India Pvt Ltd,CC-3000-FIN,IN Finance Shared Services,625000,Professional Fees,SA,3071.44,INR,36.86,2026-06
5000025,2026-06-20,3000,Acme India Pvt Ltd,CC-3000-FIN,IN Finance Shared Services,615000,IT Services & Software,SA,4920.52,INR,59.05,2026-06
5000026,2026-06-18,3000,Acme India Pvt Ltd,CC-3000-FIN,IN Finance Shared Services,640000,Rent & Facilities,SA,10281.41,INR,123.38,2026-06
5000027,2026-07-30,1000,Acme US Inc.,CC-1000-SALES,US Sales,615000,IT Services & Software,SA,2997.55,USD,2997.55,2026-07
5000028,2026-07-22,1000,Acme US Inc.,CC-1000-SALES,US Sales,610000,Salaries & Wages,SA,15199.28,USD,15199.28,2026-07
5000029,2026-07-27,1000,Acme US Inc.,CC-1000-SALES,US Sales,640000,Rent & Facilities,SA,8739.32,USD,8739.32,2026-07
5000030,2026-07-08,1000,Acme US Inc.,CC-1000-SALES,US Sales,630000,Marketing & Advertising,SA,1325.15,USD,1325.15,2026-07
5000031,2026-07-03,1000,Acme US Inc.,CC-1000-MKT,US Marketing,625000,Professional Fees,SA,4566.78,USD,4566.78,2026-07
5000032,2026-07-30,1000,Acme US Inc.,CC-1000-MKT,US Marketing,630000,Marketing & Advertising,SA,2193.67,USD,2193.67,2026-07
5000033,2026-07-29,1000,Acme US Inc.,CC-1000-ITOPS,US IT Operations,625000,Professional Fees,SA,1203.32,USD,1203.32,2026-07
5000034,2026-07-05,1000,Acme US Inc.,CC-1000-ITOPS,US IT Operations,615000,IT Services & Software,SA,8616.64,USD,8616.64,2026-07
5000035,2026-07-05,1000,Acme US Inc.,CC-1000-ITOPS,US IT Operations,640000,Rent & Facilities,SA,11725.06,USD,11725.06,2026-07
5000036,2026-07-24,1000,Acme US Inc.,CC-1000-ITOPS,US IT Operations,635000,Repairs & Maintenance,SA,3271.91,USD,3271.91,2026-07
5000037,2026-07-29,1000,Acme US Inc.,CC-1000-HR,US Human Resources,640000,Rent & Facilities,SA,6436.91,USD,6436.91,2026-07
5000038,2026-07-12,1000,Acme US Inc.,CC-1000-HR,US Human Resources,620000,Office Supplies,SA,311.16,USD,311.16,2026-07
5000039,2026-07-05,1000,Acme US Inc.,CC-1000-HR,US Human Resources,625000,Professional Fees,SA,5042.24,USD,5042.24,2026-07
5000040,2026-07-03,1000,Acme US Inc.,CC-1000-HR,US Human Resources,635000,Repairs & Maintenance,SA,1872.58,USD,1872.58,2026-07
5000041,2026-07-26,2000,Acme Germany GmbH,CC-2000-PROD,DE Production,605000,Utilities,SA,744.08,EUR,803.61,2026-07
5000042,2026-07-20,2000,Acme Germany GmbH,CC-2000-PROD,DE Production,610000,Salaries & Wages,SA,14932.48,EUR,16127.08,2026-07
5000043,2026-07-17,2000,Acme Germany GmbH,CC-2000-RND,DE Research & Development,630000,Marketing & Advertising,SA,1240.72,EUR,1339.98,2026-07
5000044,2026-07-18,2000,Acme Germany GmbH,CC-2000-RND,DE Research & Development,640000,Rent & Facilities,SA,11274.56,EUR,12176.52,2026-07
5000045,2026-07-04,3000,Acme India Pvt Ltd,CC-3000-SUPPORT,IN Customer Support,605000,Utilities,SA,1017.56,INR,12.21,2026-07
5000046,2026-07-14,3000,Acme India Pvt Ltd,CC-3000-SUPPORT,IN Customer Support,620000,Office Supplies,SA,1243.16,INR,14.92,2026-07
5000047,2026-07-17,3000,Acme India Pvt Ltd,CC-3000-FIN,IN Finance Shared Services,635000,Repairs & Maintenance,SA,1384.5,INR,16.61,2026-07
5000048,2026-07-17,3000,Acme India Pvt Ltd,CC-3000-FIN,IN Finance Shared Services,600000,Travel & Entertainment,SA,1964.22,INR,23.57,2026-07
5000049,2026-08-12,1000,Acme US Inc.,CC-1000-SALES,US Sales,620000,Office Supplies,SA,1052.07,USD,1052.07,2026-08
5000050,2026-08-17,1000,Acme US Inc.,CC-1000-SALES,US Sales,615000,IT Services & Software,SA,2886.41,USD,2886.41,2026-08
5000051,2026-08-17,1000,Acme US Inc.,CC-1000-MKT,US Marketing,600000,Travel & Entertainment,SA,3402.67,USD,3402.67,2026-08
5000052,2026-08-17,1000,Acme US Inc.,CC-1000-MKT,US Marketing,625000,Professional Fees,SA,5605.82,USD,5605.82,2026-08
5000053,2026-08-08,1000,Acme US Inc.,CC-1000-MKT,US Marketing,615000,IT Services & Software,SA,8546.24,USD,8546.24,2026-08
5000054,2026-08-08,1000,Acme US Inc.,CC-1000-MKT,US Marketing,640000,Rent & Facilities,SA,11158.62,USD,11158.62,2026-08
5000055,2026-08-17,1000,Acme US Inc.,CC-1000-ITOPS,US IT Operations,605000,Utilities,SA,1695.8,USD,1695.8,2026-08
5000056,2026-08-05,1000,Acme US Inc.,CC-1000-ITOPS,US IT Operations,640000,Rent & Facilities,SA,11374.99,USD,11374.99,2026-08
5000057,2026-08-17,1000,Acme US Inc.,CC-1000-ITOPS,US IT Operations,625000,Professional Fees,SA,1348.65,USD,1348.65,2026-08
5000058,2026-08-09,1000,Acme US Inc.,CC-1000-ITOPS,US IT Operations,615000,IT Services & Software,SA,2969.87,USD,2969.87,2026-08
5000059,2026-08-17,1000,Acme US Inc.,CC-1000-HR,US Human Resources,630000,Marketing & Advertising,SA,1316.59,USD,1316.59,2026-08
5000060,2026-08-13,1000,Acme US Inc.,CC-1000-HR,US Human Resources,615000,IT Services & Software,SA,3939.98,USD,3939.98,2026-08
5000061,2026-08-15,1000,Acme US Inc.,CC-1000-HR,US Human Resources,620000,Office Supplies,SA,791.32,USD,791.32,2026-08
5000062,2026-08-04,1000,Acme US Inc.,CC-1000-HR,US Human Resources,625000,Professional Fees,SA,2482.36,USD,2482.36,2026-08
5000063,2026-08-01,2000,Acme Germany GmbH,CC-2000-PROD,DE Production,615000,IT Services & Software,SA,7715.53,EUR,8332.77,2026-08
5000064,2026-08-17,2000,Acme Germany GmbH,CC-2000-PROD,DE Production,605000,Utilities,SA,1213.51,EUR,1310.59,2026-08
5000065,2026-08-08,2000,Acme Germany GmbH,CC-2000-RND,DE Research & Development,600000,Travel & Entertainment,SA,1198.99,EUR,1294.91,2026-08
5000066,2026-08-17,2000,Acme Germany GmbH,CC-2000-RND,DE Research & Development,605000,Utilities,SA,1585.39,EUR,1712.22,2026-08
5000067,2026-08-09,3000,Acme India Pvt Ltd,CC-3000-SUPPORT,IN Customer Support,625000,Professional Fees,SA,1673.73,INR,20.08,2026-08
5000068,2026-08-07,3000,Acme India Pvt Ltd,CC-3000-SUPPORT,IN Customer Support,605000,Utilities,SA,2104.39,INR,25.25,2026-08
5000069,2026-08-07,3000,Acme India Pvt Ltd,CC-3000-FIN,IN Finance Shared Services,610000,Salaries & Wages,SA,9043.71,INR,108.52,2026-08
5000070,2026-08-04,3000,Acme India Pvt Ltd,CC-3000-FIN,IN Finance Shared Services,635000,Repairs & Maintenance,SA,3950.17,INR,47.4,2026-08
5000071,2026-08-12,3000,Acme India Pvt Ltd,CC-3000-FIN,IN Finance Shared Services,605000,Utilities,SA,2044.49,INR,24.53,2026-08
5000072,2026-08-14,3000,Acme India Pvt Ltd,CC-3000-FIN,IN Finance Shared Services,615000,IT Services & Software,SA,2990.37,INR,35.88,2026-08
